on road old,on road now,years,km,rating,condition,economy,top speed,hp,torque,current price
676577,855183,5,52489,2,9,11,153,56,99,5841165
676638,735838,5,97013,3,3,15,180,99,100,3171685
592057,726915,6,127668,2,6,14,188,107,132,1491415
629786,737281,6,125022,3,10,14,188,85,137,229982
699023,838654,7,122196,1,6,13,194,94,139,2758375
566392,823362,6,101287,5,1,10,140,55,74,2875885
633227,838144,7,55789,3,7,11,162,81,105,5128855
596906,858199,4,116213,1,3,12,190,74,123,262576
663185,714026,3,68247,3,7,13,189,103,107,424305
521785,701108,7,127229,1,6,9,175,64,134,982425
594696,855105,3,87005,3,9,13,142,56,138,4066575
533182,835338,7,132541,3,4,11,185,83,95,146568
645041,752476,7,63498,1,10,10,173,108,72,486590
620354,776304,4,84131,5,8,11,185,72,125,379491
557635,798449,3,50815,3,1,8,181,115,78,4750015
620634,878823,3,90829,5,5,11,141,58,68,389610
634648,822670,7,79220,1,8,15,200,116,90,4200755
692378,826787,3,112953,2,5,11,188,53,81,309449
620996,828982,4,143998,1,1,9,169,118,129,1487345
518767,854572,5,80054,4,6,14,186,53,126,3695715
505738,748993,5,89569,1,5,10,189,64,119,269326
632007,839452,4,122813,2,5,12,169,70,121,245796
600873,718675,5,91204,5,5,15,183,76,133,296829
666285,848780,4,69558,2,2,10,140,66,115,479031
652099,877998,7,60345,3,9,12,183,94,99,545171
663651,834585,7,64973,4,7,10,186,113,126,4900005
656130,716423,3,92903,4,5,8,162,54,140,3168275
644097,753962,3,71701,5,3,13,169,87,69,414035
537109,883382,7,105503,3,8,9,177,87,115,2965655
533558,847175,5,148077,2,4,9,182,116,134,972805
691225,859300,6,73541,4,1,9,153,62,82,477912
618988,804859,5,125514,3,10,13,169,119,74,258692
543621,788333,5,60253,5,7,12,173,98,102,433627
683410,824040,7,67696,4,7,9,175,83,82,4836635
608405,818986,7,73851,1,5,10,175,109,116,411701
557758,774611,5,122976,5,4,9,179,105,75,1750125
639784,775197,4,62513,4,3,9,148,115,122,457793
568702,849865,7,125268,1,7,11,176,99,116,208468
587138,899702,3,114156,1,2,11,182,95,95,2869375
521447,724511,2,114405,5,3,14,179,63,71,1672815
522055,810290,7,141406,3,7,13,156,111,78,100927
640818,757650,3,91163,5,6,9,180,109,138,340165
541464,752239,3,112964,2,8,13,155,106,79,2115285
500921,792216,6,56937,5,9,14,185,64,117,4463005
577168,735086,3,141554,1,10,14,178,74,95,1400615
530082,846632,5,78169,2,9,8,181,110,100,4038865
612101,852032,2,101865,5,6,9,195,67,138,3302815
645147,858176,4,101263,5,3,9,168,59,129,348000
641477,712485,7,144949,5,6,12,151,68,108,944675
529761,776002,6,132152,1,5,15,144,80,105,1222255
694439,834193,5,68013,3,5,15,179,107,81,4926815
598889,827568,7,97160,3,5,15,165,69,99,318148
643100,860268,3,111289,2,1,12,153,80,97,306660
548861,857901,2,75116,5,3,8,158,120,89,4048005
508137,807048,5,122974,1,2,9,193,111,78,164382
614371,898435,7,52712,5,7,13,136,91,125,547378
627918,872779,5,78154,5,6,10,165,100,124,441865
607360,890036,3,102435,5,6,9,146,70,119,344495
550135,746967,2,51894,4,8,15,160,108,75,458139
562835,883760,2,138955,2,2,14,181,106,118,167794
605017,835653,4,98980,4,7,13,146,106,125,3330915
587327,780473,2,118664,5,5,10,137,60,104,2125535
680771,842283,4,52266,3,5,13,139,100,124,553901
699859,879210,5,136497,1,1,14,191,80,110,2422735
640520,751024,4,129251,2,3,13,142,77,110,1786425
620214,899611,7,124062,4,5,8,186,85,125,2575655
690955,714804,6,67692,4,6,8,151,84,126,432836
532196,811276,4,100003,1,6,14,151,90,132,275385
664983,736838,3,95495,2,9,10,137,56,78,348535
636153,720593,2,127404,1,3,14,144,67,118,1691255
601097,848296,7,59454,3,9,11,135,84,71,5083285
542393,735671,2,116626,2,1,11,143,58,138,1727585
698848,706280,7,111194,2,10,10,199,57,133,299645
644241,874805,7,63098,3,2,15,187,98,131,4991855
523545,737642,5,82580,4,3,12,187,98,100,299609
573928,847579,4,101567,2,7,9,143,84,92,312593
661301,714269,4,135652,4,4,11,140,86,72,1458985
697488,887714,2,130004,3,6,10,198,57,99,2768055
531597,731262,5,143526,3,7,8,175,110,137,64531
509580,768883,4,123140,5,9,15,162,60,79,1775095
568019,713735,5,140488,2,6,12,149,96,93,815075
691841,794219,5,71198,5,2,10,146,55,118,4584635
542658,847107,3,120144,4,6,10,190,80,88,218814
504320,706580,7,95032,3,3,14,164,71,138,217446
547887,721567,7,126379,1,1,8,147,97,119,121022
619188,880381,3,60367,3,9,12,178,50,97,5380755
532784,822216,4,69525,1,8,9,181,111,68,415493
664917,802058,6,58798,4,5,8,171,61,82,496671
577471,890960,3,64120,3,6,13,144,51,113,481862
544374,858658,6,58398,4,4,13,182,101,105,4653385
536331,747386,2,103983,3,5,13,159,72,102,2278455
536651,748422,5,63020,4,7,8,186,82,95,398023
561292,892767,2,138370,2,7,14,169,60,108,1822195
553776,720207,2,139638,2,9,15,164,56,74,1082235
571728,707666,4,78673,4,7,12,179,77,94,3336555
522705,843629,2,55690,4,5,11,190,83,106,4627155
673637,752116,3,92577,3,10,15,162,117,87,392864
509579,761720,2,65706,4,10,8,148,84,75,423507
623763,771524,7,71571,1,2,14,136,50,100,4032135
647470,756235,6,88184,4,7,14,141,81,113,3544095
656362,723313,6,57026,3,9,8,184,69,134,487717
568580,820067,7,56749,2,4,12,135,66,124,4596865
642174,749626,3,127775,5,4,9,182,120,129,187009
655721,806559,5,106474,3,2,12,197,115,115,3041045
588901,868312,3,97934,5,5,10,184,113,79,340112
520307,858444,7,125057,5,5,10,150,62,135,1840925
692252,803941,3,52686,1,8,12,191,71,73,553855
607575,812966,3,129779,1,5,11,169,119,106,1928535
578865,738976,5,139287,2,7,12,170,111,104,108894
536149,822452,7,98529,3,6,12,143,69,138,2810375
669877,772794,3,55313,2,4,9,140,70,88,5006795
536176,735637,6,145766,1,6,8,147,114,69,53040
592277,878871,4,122589,1,9,8,200,96,85,2744535
593508,899797,3,56201,5,6,11,144,84,115,5274095
630048,838764,7,113078,3,5,15,173,74,119,275670
574876,759437,3,52498,1,5,12,137,79,95,4588335
637577,744443,5,99114,3,2,14,189,120,86,2934245
648198,858419,2,125519,3,8,8,185,105,109,2679535
543506,880724,5,120404,5,1,15,169,71,130,230797
619697,880221,5,66345,4,8,12,185,82,92,500164
553351,747014,7,81955,5,3,14,190,87,70,3159145
525901,756923,7,116289,1,5,14,145,88,89,1696745
505785,856378,2,68343,3,3,13,157,103,105,4082035
653978,750919,7,70600,1,5,12,161,53,75,4134245
664925,800032,4,60919,4,6,12,160,118,99,492951
661027,729123,6,117727,4,6,13,200,116,74,2249585
542761,830535,6,104526,5,8,8,188,88,98,2828215
691280,882416,3,90028,3,10,8,163,119,93,4769555
596236,840187,4,94388,2,6,15,162,65,124,3443395
509814,747248,6,149191,1,3,8,184,100,103,282265
672201,741077,3,81786,1,1,13,138,91,69,379608
613678,893062,5,128700,5,3,14,144,62,97,238941
648791,740200,6,145066,4,2,15,145,118,120,1111755
593197,834788,6,100726,4,7,12,187,91,121,3163875
649982,832534,6,128355,2,4,14,185,53,100,224745
653370,895314,7,67912,1,1,12,136,120,101,494542
694702,767448,6,98217,2,4,11,190,76,106,3350935
681432,882715,4,100348,4,9,9,179,65,70,4104035
620721,769100,6,130890,3,9,9,168,85,89,197320
550199,887546,5,120477,2,3,15,178,77,127,235843
575398,888701,7,103222,2,1,9,198,78,68,310987
669146,828352,5,132078,1,1,9,194,90,138,219127
514779,759061,4,132690,2,6,12,172,100,137,1098285
677501,708173,5,148135,2,8,9,159,104,89,115351
568150,763196,3,92412,4,9,11,138,54,130,3261615
542922,731562,4,128326,4,2,11,145,106,87,1241835
697098,712590,6,75011,1,1,8,187,65,99,4011205
698612,868092,4,139859,3,6,14,188,54,73,227669
531885,895833,6,119737,2,9,11,155,80,119,260801
609859,884227,2,53573,2,8,13,181,120,72,549406
647888,834728,6,67098,5,2,12,193,110,121,4708905
547769,887499,7,135791,5,9,10,143,104,101,1973775
548369,717441,5,67836,4,1,8,174,94,121,3607375
573279,761659,3,115714,4,5,14,140,95,110,2068365
522401,757454,4,68294,5,4,10,163,65,89,3685225
542326,805591,4,56985,4,10,15,145,107,73,4962935
521508,839890,4,91130,4,8,11,165,79,133,332812
680035,857076,3,92691,4,5,15,145,99,97,4000275
565719,767052,3,65293,4,4,10,193,105,69,4063495
513485,730628,4,140296,4,5,15,200,94,85,62737
549895,792233,5,95730,5,8,14,170,91,123,304818
689935,856093,5,60213,4,8,13,165,88,79,547746
615463,712908,4,51554,5,5,9,148,96,70,460780
681098,791722,6,51032,2,7,8,150,59,128,537014
528434,895475,6,91202,4,8,13,177,69,96,360410
543821,838477,2,68391,2,6,9,146,70,116,4216795
511480,707187,7,106846,4,6,11,145,75,128,1781805
530534,844523,2,139330,4,10,10,191,72,124,180948
587187,777397,3,109589,2,3,14,164,93,101,244229
631154,863117,4,92461,5,10,12,194,78,105,4286025
572446,870038,3,132274,4,7,14,147,54,100,2011885
696006,890823,7,100188,4,4,14,143,91,117,3855565
646220,702366,4,145992,2,7,12,182,106,82,984895
510402,721256,3,59089,3,1,10,171,102,130,379725
656956,796638,6,62768,1,1,13,165,73,79,472081
642181,766390,2,138175,1,5,10,193,93,100,1533755
602529,869728,3,61880,3,8,10,179,102,81,5052235
583979,711820,2,71716,2,6,11,163,68,74,3651365
663565,748355,7,104233,1,6,9,156,82,110,2847275
509187,761131,7,81086,3,6,12,191,100,103,306690
539392,721550,3,81037,4,3,12,175,108,95,307096
577540,791477,7,65717,1,8,10,186,65,81,4298375
629081,835860,5,107058,2,4,15,189,89,102,3035065
505900,809405,7,92598,5,7,14,186,86,120,289117
643414,835263,6,121264,3,2,9,198,113,86,250771
681635,864726,7,53183,4,9,13,139,90,133,582347
584015,724269,7,105792,4,8,15,153,86,95,239746
586019,808068,2,140760,5,7,12,167,82,83,1441915
588507,872216,2,124399,3,7,8,159,107,96,2414875
576829,805870,7,137368,3,10,12,168,86,78,1838335
617893,728235,5,91030,4,4,11,163,84,108,3086435
546212,886437,2,120388,3,3,13,151,65,119,2352515
520219,714158,6,85398,1,1,13,139,108,77,271956
647221,850294,3,147460,5,2,12,152,70,80,1605975
655547,798378,5,99194,1,2,9,195,51,118,328863
617887,790305,4,66427,1,7,9,158,88,88,4464875
527890,738409,3,124079,4,2,15,137,94,92,137514
655963,766226,5,50648,3,4,11,140,112,78,507799
648262,780132,4,147265,5,4,12,181,65,126,1269575
506788,855417,2,123317,2,2,13,180,88,125,1881315
582950,797342,7,137660,2,10,14,189,96,111,1814145
527250,784626,5,143820,1,7,13,138,113,119,87769
635487,817484,5,76805,2,1,9,135,104,121,417940
557987,701042,5,101889,3,8,15,187,54,139,237204
633777,775982,4,50512,2,6,8,144,68,79,506401
625785,796611,4,71337,2,1,9,185,72,88,4255675
552280,898290,2,129891,5,2,11,144,57,72,2074805
543030,793768,4,92823,5,9,15,189,119,91,327994
584786,896839,6,84933,3,9,14,159,105,128,4271325
568688,885904,4,58427,5,7,13,181,53,128,5033075
597229,830443,6,149529,1,4,14,147,73,103,112604
558107,798353,3,59619,1,3,15,142,120,93,4400445
644052,796232,2,81695,2,5,13,150,78,130,395188
638462,846877,6,119862,4,9,9,143,89,88,2895705
695631,899083,4,137714,1,9,13,197,83,85,275781
585297,815188,6,115379,5,8,14,161,64,119,253055
552309,750321,6,134717,4,10,11,164,66,126,1593095
530050,736198,2,74905,4,6,13,169,72,97,3381415
564980,727538,3,111622,1,8,15,135,91,135,216327
524473,772232,3,124833,4,7,10,197,55,82,1580315
620611,890441,4,71450,5,4,10,184,120,74,4715275
652175,756878,3,96686,5,4,10,190,115,140,320008
523710,774752,7,66552,1,5,14,165,98,68,376446
565733,731851,5,132105,1,5,9,152,93,96,1205835
505728,749773,5,100534,1,9,15,137,72,119,2538535
613975,814126,7,71977,5,3,15,160,72,123,419713
547835,774880,4,63934,1,3,11,198,91,137,405505
545595,717327,5,81284,5,10,15,152,62,124,3566065
557488,811736,5,68212,5,7,12,172,73,78,420401
536280,724335,7,113232,2,5,12,199,86,139,1708385
515594,779382,4,128177,2,10,15,191,52,106,184571
542496,740694,5,140227,5,1,15,160,107,125,80996
544593,874532,2,109453,5,4,13,159,99,105,274075
658253,796313,5,113147,3,5,9,189,84,104,2750455
512638,820109,6,55592,4,4,15,142,56,85,4413955
567129,754655,5,132856,1,6,10,136,119,110,1320265
577448,711931,7,140455,4,5,13,137,71,86,76772
663111,804528,2,113723,3,6,13,173,116,116,283208
696192,876112,2,122105,5,3,13,147,114,80,299655
673588,755102,6,147206,3,4,14,193,98,115,1225675
658059,710293,2,61132,1,2,9,169,106,76,4398645
563886,860148,3,64481,5,1,14,163,113,108,4558245
631367,731363,4,59806,2,2,8,156,59,126,4418635
622325,748066,3,51513,3,4,10,146,108,127,479896
680056,742511,7,61687,4,2,8,154,69,74,4568405
665221,751904,5,110234,2,1,13,176,82,94,266341
523773,754405,4,89677,3,6,9,142,87,122,2840945
628266,719938,4,136468,1,6,13,195,70,140,1318935
663065,840983,6,96129,2,9,9,157,52,91,393351
603780,763791,7,118943,2,4,14,150,85,110,2004085
662468,874591,7,133038,3,4,15,184,84,77,2288925
603745,881849,4,87263,2,10,15,137,76,120,443528
536806,725621,3,133466,4,2,9,161,99,85,97969
631967,806929,3,149565,5,1,9,151,71,125,1228435
531988,816682,7,99340,5,10,13,143,68,135,3203915
520016,754494,7,123383,4,1,12,164,77,109,136079
679088,710099,7,72223,2,8,12,163,113,93,4139545
685661,870402,6,146425,1,10,11,149,50,69,2386385
508370,862188,6,57881,5,10,8,189,99,114,5016625
647422,750774,2,132215,3,7,12,137,100,108,1789915
598099,765290,7,67520,2,9,9,141,103,75,4329515
561469,856225,2,106506,3,9,10,174,106,120,312703
640461,786348,7,143458,2,6,9,192,74,125,135309
690836,800089,6,89533,1,5,12,180,72,90,3852485
636836,737079,4,133726,1,6,15,170,115,68,155719
502794,773887,4,125045,4,7,11,151,50,124,146787
517451,770875,4,52568,1,1,12,151,76,73,433602
686601,879334,7,142201,5,1,12,135,65,114,207552
668434,798819,5,63448,1,9,13,173,100,138,508087
546978,783926,6,101139,1,8,11,200,106,107,2736595
532317,745223,3,132129,2,8,12,200,95,79,1267915
684924,737091,7,132498,1,5,11,164,69,94,174399
678346,772156,4,76480,2,7,12,167,64,140,427496
543587,811245,3,72714,5,3,12,151,100,112,388376
664315,810730,2,132059,2,8,13,150,87,87,225917
563465,892776,3,71598,5,1,12,195,97,70,443423
653115,828452,3,109500,2,2,11,149,68,133,3029295
679306,783183,5,53831,4,2,14,161,106,100,5151675
614503,831616,7,129507,2,4,14,163,75,115,1974305
621407,891049,5,121739,3,3,11,166,77,132,2682005
522640,787740,3,56023,4,8,11,165,101,81,4481065
547423,780992,5,53658,2,7,11,167,63,91,4566535
517766,747853,4,79429,3,6,14,170,76,92,318858
553494,835428,5,113365,4,3,14,156,95,116,2403535
520755,714287,6,141565,1,9,13,146,95,128,77167
511487,849844,2,92230,1,6,10,196,73,78,3158415
554382,765841,3,119539,4,7,9,142,87,104,1909565
691946,879308,6,124010,5,3,15,137,102,120,287675
584928,862503,7,136402,1,1,12,195,74,85,169954
541120,778500,2,61612,1,5,9,152,54,101,415103
694491,792832,4,143994,5,4,11,135,89,101,169471
675546,786507,6,64839,3,10,15,181,86,122,518211
687237,843143,6,125638,1,9,15,143,101,94,2885565
502281,759393,7,61910,5,4,10,162,113,106,3771085
563990,768773,7,93188,1,7,8,181,81,96,293841
543337,731550,4,95556,5,1,8,150,95,103,2564765
657665,741259,7,88825,1,6,13,143,73,97,339888
579894,750878,7,95846,4,10,13,150,66,140,324373
665173,813933,4,130393,3,6,14,195,77,137,221781
529627,755870,6,90969,1,4,11,179,120,100,275757
574548,808948,7,101621,5,8,12,140,57,71,295013
580508,816624,2,62188,2,8,8,165,94,77,466398
615409,881738,4,144010,5,10,14,188,91,127,223885
520168,896983,2,149654,4,4,9,145,76,133,111185
572777,736355,2,83022,4,6,8,179,109,75,3270755
616528,818206,5,125066,1,10,12,152,106,115,2657995
583113,810435,6,67036,5,6,15,167,51,75,4304515
693986,727374,3,82191,5,1,9,139,107,99,3835705
579669,760038,6,123580,3,10,11,144,73,73,2219725
614333,830559,5,123416,3,5,10,153,86,74,229110
642521,870335,6,139432,5,1,11,168,117,123,1966395
642956,737175,6,89816,1,5,12,170,57,72,328698
633523,784190,4,128006,5,10,10,149,92,132,2481195
616858,777197,7,95246,4,2,8,193,75,85,3083765
630659,821454,4,147871,2,5,9,198,107,84,135874
632262,725839,5,98776,1,8,13,157,61,115,2990195
670656,871042,4,95020,5,2,14,182,65,81,3920975
551204,716632,3,76306,2,3,13,161,85,112,3289735
668427,811766,3,60176,4,8,15,151,87,135,516466
